sample,condition,time,rep
sample1A1,lowCO2_air,t0,r1
sample1A2,lowCO2_air,t3.8,r1
sample1A3,lowCO2_air,t7.3,r1
sample1A4,lowCO2_air,t0,r2
sample1A5,lowCO2_air,t3.8,r2
sample1A6,lowCO2_air,t7.3,r2
sample1B1,lowCO2_air,t7.3,r3
sample1B2,lowCO2_air,t3.8,r3
sample1B3,lowCO2_air,t0,r3
sample1B4,lowCO2_air,t7.3,r4
sample1B5,lowCO2_air,t3.8,r4
sample1B6,lowCO2_air,t0,r4
sample1C1,lowCO2_air,t3.8,r5
sample1C2,lowCO2_air,t0,r5
sample1C3,lowCO2_air,t7.3,r5
sample1C4,lowCO2_air,t3.8,r6
sample1C5,lowCO2_air,t0,r6
sample1C6,lowCO2_air,t7.3,r6
sample1D1,lowCO2_air,t7.3,r7
sample1D2,lowCO2_air,t0,r7
sample1D3,lowCO2_air,t3.8,r7
sample1D4,lowCO2_air,t7.3,r8
sample1D5,lowCO2_air,t0,r8
sample1D6,lowCO2_air,t3.8,r8
sample4A1,highCO2_N2,t0,r1
sample4A2,highCO2_N2,t3.7,r1
sample4A3,highCO2_N2,t8.6,r1
sample4A4,highCO2_N2,t10.1,r1
sample4A5,highCO2_N2,t0,r2
sample4A6,highCO2_N2,t3.7,r2
sample4A7,highCO2_N2,t8.6,r2
sample4A8,highCO2_N2,t10.1,r2
sample4B1,highCO2_N2,t10.1,r3
sample4B2,highCO2_N2,t8.6,r3
sample4B3,highCO2_N2,t3.7,r3
sample4B4,highCO2_N2,t0,r3
sample4B5,highCO2_N2,t10.1,r4
sample4B6,highCO2_N2,t8.6,r4
sample4B7,highCO2_N2,t3.7,r4
sample4B8,highCO2_N2,t0,r4
sample4C1,highCO2_N2,t3.7,r5
sample4C2,highCO2_N2,t10.1,r5
sample4C3,highCO2_N2,t0,r5
sample4C4,highCO2_N2,t8.6,r5
sample4C5,highCO2_N2,t3.7,r6
sample4C6,highCO2_N2,t10.1,r6
sample4C7,highCO2_N2,t0,r6
sample4C8,highCO2_N2,t8.6,r6
sample4D1,highCO2_N2,t8.6,r7
sample4D2,highCO2_N2,t0,r7
sample4D3,highCO2_N2,t10.1,r7
sample4D4,highCO2_N2,t3.7,r7
sample4D5,highCO2_N2,t3.7,r8
sample4D6,highCO2_N2,t0,r8
sample3A1,LD_lowCO2_air,t0,r1
sample3A2,LD_lowCO2_air,t3.8,r1
sample3A3,LD_lowCO2_air,t8.7,r1
sample3A4,LD_lowCO2_air,t0,r2
sample3A5,LD_lowCO2_air,t3.8,r2
sample3A6,LD_lowCO2_air,t8.7,r2
sample3B1,LD_lowCO2_air,t8.7,r3
sample3B2,LD_lowCO2_air,t3.8,r3
sample3B3,LD_lowCO2_air,t0,r3
sample3B4,LD_lowCO2_air,t8.7,r4
sample3B5,LD_lowCO2_air,t3.8,r4
sample3B6,LD_lowCO2_air,t0,r4
sample3C1,LD_lowCO2_air,t3.8,r5
sample3C2,LD_lowCO2_air,t0,r5
sample3C3,LD_lowCO2_air,t8.7,r5
sample3C4,LD_lowCO2_air,t3.8,r6
sample3C5,LD_lowCO2_air,t0,r6
sample3C6,LD_lowCO2_air,t8.7,r6
sample3D1,LD_lowCO2_air,t3.8,r7
sample3D2,LD_lowCO2_air,t8.7,r7
sample3D3,LD_lowCO2_air,t0,r7
sample2A1,lowCO2_N2,t0,r1
sample2A2,lowCO2_N2,t3.3,r1
sample2A3,lowCO2_N2,t13,r1
sample2A4,lowCO2_N2,t0,r2
sample2A5,lowCO2_N2,t3.3,r2
sample2A6,lowCO2_N2,t13,r2
sample2B1,lowCO2_N2,t13,r3
sample2B2,lowCO2_N2,t3.3,r3
sample2B3,lowCO2_N2,t0,r3
sample2B4,lowCO2_N2,t13,r4
sample2B5,lowCO2_N2,t3.3,r4
sample2B6,lowCO2_N2,t0,r4
sample2C1,lowCO2_N2,t3.3,r5
sample2C2,lowCO2_N2,t0,r5
sample2C3,lowCO2_N2,t13,r5
sample2C4,lowCO2_N2,t3.3,r6
sample2C5,lowCO2_N2,t0,r6
sample2C6,lowCO2_N2,t13,r6
sample2D1,lowCO2_N2,t0,r7
sample2D2,lowCO2_N2,t3.3,r7
sample2D3,lowCO2_N2,t13,r7
